timestamp,src_ip,src_port,dst_ip,dst_port,snd_cwnd,ssthresh,srtt_us,retransmissions,bytes_acked
1783436373,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436373,127.0.0.1,60022,127.0.0.1,5201,20,20,64,0,444465084
1783436374,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436374,127.0.0.1,60022,127.0.0.1,5201,20,20,46,0,2857762854
1783436375,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436375,127.0.0.1,60022,127.0.0.1,5201,20,20,74,0,5289148454
1783436376,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436376,127.0.0.1,60022,127.0.0.1,5201,21,20,43,0,7732330534
1783436377,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436377,127.0.0.1,60022,127.0.0.1,5201,21,20,47,0,10181804070
1783436378,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436378,127.0.0.1,60022,127.0.0.1,5201,21,20,54,0,12626165692
1783436379,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436379,127.0.0.1,60022,127.0.0.1,5201,21,20,45,0,15066070972
1783436380,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436380,127.0.0.1,60022,127.0.0.1,5201,31,20,57,0,17494179878
1783436381,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436381,127.0.0.1,60022,127.0.0.1,5201,31,20,47,0,19917045692
1783436382,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436382,127.0.0.1,60022,127.0.0.1,5201,31,20,47,0,22358392870
1783436383,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436383,127.0.0.1,60022,127.0.0.1,5201,31,20,50,0,24796332070
1783436384,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436384,127.0.0.1,60022,127.0.0.1,5201,31,20,55,0,27213299750
1783436385,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436385,127.0.0.1,60022,127.0.0.1,5201,31,20,49,0,29655695398
1783436386,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436386,127.0.0.1,60022,127.0.0.1,5201,31,20,47,0,32089964582
1783436387,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436387,127.0.0.1,60022,127.0.0.1,5201,31,20,70,0,34521874470
1783436388,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436388,127.0.0.1,60022,127.0.0.1,5201,31,20,48,0,36929404966
1783436389,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436389,127.0.0.1,60022,127.0.0.1,5201,31,20,52,0,39356596156
1783436390,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436390,127.0.0.1,60022,127.0.0.1,5201,31,20,78,0,41742893094
1783436391,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436391,127.0.0.1,60022,127.0.0.1,5201,31,20,72,0,43997855676
1783436392,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436392,127.0.0.1,60022,127.0.0.1,5201,31,20,51,0,46412333094
1783436393,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436393,127.0.0.1,60022,127.0.0.1,5201,31,20,46,0,48845291452
1783436394,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436394,127.0.0.1,60022,127.0.0.1,5201,31,20,54,0,51183615932
1783436395,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436395,127.0.0.1,60022,127.0.0.1,5201,31,20,63,0,53579743270
1783436396,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436396,127.0.0.1,60022,127.0.0.1,5201,31,20,49,0,55942316070
1783436397,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436397,127.0.0.1,60022,127.0.0.1,5201,31,20,51,0,58437926950
1783436398,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436398,127.0.0.1,60022,127.0.0.1,5201,47,20,45,0,60895657916
1783436399,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436399,127.0.0.1,60022,127.0.0.1,5201,47,20,52,0,63350636582
1783436400,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436400,127.0.0.1,60022,127.0.0.1,5201,47,20,62,0,65803386812
1783436401,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436401,127.0.0.1,60022,127.0.0.1,5201,47,20,81,0,68222648305
1783436402,127.0.0.1,60010,127.0.0.1,5201,10,2147483647,77,0,187
1783436402,127.0.0.1,60022,127.0.0.1,5201,47,20,41,0,70663929788
