timestamp,src_ip,src_port,dst_ip,dst_port,snd_cwnd,ssthresh,srtt_us,retransmissions,bytes_acked
1783205278,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205278,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205278,127.0.0.1,41732,127.0.0.1,5201,7,7,154,1,5504956
1783205279,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205279,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205279,127.0.0.1,41732,127.0.0.1,5201,2,3,75,310,1361706940
1783205280,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205280,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205280,127.0.0.1,41732,127.0.0.1,5201,6,6,100,550,2452488230
1783205281,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205281,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205281,127.0.0.1,41732,127.0.0.1,5201,4,3,88,781,3511287846
1783205282,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205282,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205282,127.0.0.1,41732,127.0.0.1,5201,2,3,61,1065,4804575270
1783205283,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205283,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205283,127.0.0.1,41732,127.0.0.1,5201,7,7,198,1287,5768675313
1783205284,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205284,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205284,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205284,127.0.0.1,41732,127.0.0.1,5201,7,4,105,1574,7195197478
1783205285,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205285,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205285,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205285,127.0.0.1,41732,127.0.0.1,5201,4,4,172,1855,8444444710
1783205286,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205286,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205286,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205286,127.0.0.1,41732,127.0.0.1,5201,8,4,120,2081,9439281190
1783205287,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205287,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205287,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205287,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205287,127.0.0.1,41732,127.0.0.1,5201,5,4,111,2216,10167451633
1783205287,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205288,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205288,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205288,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205288,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205288,127.0.0.1,41732,127.0.0.1,5201,8,5,98,2457,11166154578
1783205288,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205289,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205289,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205289,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205289,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205289,127.0.0.1,41732,127.0.0.1,5201,6,4,86,2684,12288458737
1783205289,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205290,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205290,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205290,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205290,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205290,127.0.0.1,41732,127.0.0.1,5201,24,2,152,2861,12964069308
1783205290,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
1783205291,192.168.10.81,47322,172.64.148.235,443,10,2147483647,13466,0,13807
1783205291,192.168.10.81,33746,151.101.1.91,443,10,2147483647,9879,0,3159
1783205291,192.168.10.81,33844,20.184.175.12,443,10,2147483647,239620,0,25091
1783205291,127.0.0.1,41718,127.0.0.1,5201,10,2147483647,89,0,187
1783205291,127.0.0.1,41732,127.0.0.1,5201,8,4,151,3186,14405140465
1783205291,192.168.10.81,41668,151.101.193.91,443,10,2147483647,7898,0,3116
