timestamp,src_ip,src_port,dst_ip,dst_port,snd_cwnd,ssthresh,srtt_us,retransmissions,bytes_acked
1783205631,127.0.0.1,60660,127.0.0.1,5201,10,2147483647,200107,0,1
1783205631,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205632,127.0.0.1,60660,127.0.0.1,5201,33,2147483647,200385,0,950310
1783205632,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205633,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,200197,0,12581996
1783205633,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205633,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205634,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,205582,0,27523144
1783205634,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205634,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205635,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,212902,0,42727814
1783205635,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205635,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205636,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,203369,0,57736459
1783205636,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205636,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205637,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,204534,0,72546853
1783205637,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205637,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205638,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,200716,0,87358731
1783205638,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205638,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205639,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,205179,0,102364938
1783205639,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205639,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205640,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,204732,0,116979307
1783205640,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205640,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205641,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,205965,0,131922151
1783205641,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205641,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205642,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,202441,0,146471355
1783205642,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205642,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205643,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,200405,0,161347974
1783205643,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205643,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205644,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,201341,0,176683080
1783205644,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205644,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205645,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,200824,0,191561501
1783205645,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205645,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205646,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,200212,0,206567814
1783205646,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205646,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205647,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,201260,0,221314315
1783205647,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205647,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205648,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,200179,0,236189344
1783205648,192.168.10.81,42194,172.64.148.235,443,10,2147483647,15502,0,10107
1783205648,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205648,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205649,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,200166,0,250805939
1783205649,192.168.10.81,42194,172.64.148.235,443,10,2147483647,15502,0,10107
1783205649,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205649,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205650,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,204712,0,265550108
1783205650,192.168.10.81,42194,172.64.148.235,443,10,2147483647,15502,0,10107
1783205650,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205650,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205651,127.0.0.1,60660,127.0.0.1,5201,99,2147483647,202135,0,280689401
1783205651,192.168.10.81,50574,142.250.79.206,443,10,2147483647,12390,0,10705
1783205651,192.168.10.81,42194,172.64.148.235,443,10,2147483647,15502,0,10107
1783205651,192.168.10.81,49008,150.171.110.37,443,10,2147483647,61549,0,3478
1783205651,127.0.0.1,60650,127.0.0.1,5201,10,2147483647,200109,0,187
1783205651,192.168.10.81,50580,142.250.79.206,443,10,2147483647,11292,0,3165
